#threads    complex    simple    SDC    SDS
10          5.6       1.4        2.07   0.36
50          25.5      7.4        7.19   1.67
100         51.8      9.7        2.17   1.83
500         261.4     42.7       8.04   1.63
1000        522.8     85.3       16.07  3.21
2000        1045.7    170.6      32.14  6.41
